step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,-0.04,1,4.0
75.0,-0.07,2,11.0
80.0,0.03,2,8.0
85.0,-0.19,5,27.0
90.0,-0.24,8,51.0
95.0,-0.54,13,105.0
100.0,-0.77,17,182.0
105.0,-1.1300000000000001,25,295.0
110.0,-1.2400000000000002,28,419.0
115.0,-1.5,33,569.0
120.0,-1.8899999999999997,43,758.0
125.0,-2.1899999999999995,45,977.0
130.0,-2.1400000000000006,48,1191.0
135.0,-2.5,53,1441.0
140.0,-2.7699999999999996,57,1718.0
145.0,-3.129999999999999,64,2031.0
150.0,-2.8800000000000026,62,2319.0
155.0,-3.09,66,2628.0
160.0,-3.25,69,2953.0
165.0,-3.6499999999999986,75,3318.0
170.0,0.4299999999999997,69,3275.0
175.0,2.7300000000000004,59,3002.0
180.0,-1.4400000000000013,41,3146.0
185.0,-1.0700000000000003,42,3253.0
190.0,0.5700000000000003,48,3196.0
195.0,2.650000000000002,50,2931.0
200.0,0.629999999999999,54,2868.0
205.0,-0.240000000000002,54,2892.0
210.0,-1.879999999999999,65,3080.0
215.0,-1.6799999999999962,71,3248.0
220.0,-1.1500000000000057,74,3363.0
225.0,-0.5899999999999963,56,3422.0
230.0,0.14000000000000057,45,3408.0
235.0,-0.35999999999999943,54,3444.0
240.0,-1.0399999999999991,56,3548.0
245.0,-1.980000000000004,57,3746.0
250.0,-2.280000000000001,67,3974.0
255.0,-2.8399999999999963,79,4258.0
260.0,-1.0600000000000023,95,4364.0
265.0,-0.1599999999999966,106,4380.0
270.0,-3.240000000000002,93,4704.0
275.0,-1.3800000000000026,72,4842.0
280.0,-2.9299999999999997,79,5135.0
285.0,-4.199999999999996,99,5555.0
290.0,-4.900000000000006,111,6045.0
